customer_code,customer_name,address,province_name_extract,province_id,province_name
KH-00029,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,"Nguyễn Đình Chiểu, Phường Hàm Tiến, Thành phố  Phan Thiết, Bình Thuận",Bình Thuận,12,Bình Thuận
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,"Xã Đoan Bái, Huyện Hiệp Hoà, Tỉnh Bắc Giang, Việt Nam",Bắc Giang,5,Bắc Giang
KH-00031,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,"đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Hà Nội,1,Hà Nội
KH-00032,HỘ KINH DOANH CHI THÀNH,"phố Thanh Lâm, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",Hà Nội,1,Hà Nội
KH-00033,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,"Ngõ Máy kéo, khu Liên Cơ, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Hà Nội,1,Hà Nội
KH-00034,CÔNG TY TNHH BÌNH MINH,"Mẹ Thứ, Phường Hoà Xuân, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam",Đà Nẵng,16,Đà Nẵng
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,"Trần Kế Xương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng",Đà Nẵng,16,Đà Nẵng
KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,"số 11B Cát Linh, Phường Quốc Tử Giám, Quận Đống đa, Hà Nội",Hà Nội,1,Hà Nội
KH-00037,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,"ngách 23 ngõ 82 Phố Nguyễn Phúc Lai, Phường ô Chợ Dừa, Quận Đống đa, Hà Nội",Hà Nội,1,Hà Nội
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,"Đường Hoàng Văn Thụ, Tổ 1, Phường Phan Đình Phùng, Thành phố Thái Nguyên, Thái Nguyên",Thái Nguyên,54,Thái Nguyên
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,"Toà nhà Sun Home 2.1, khu phố 6, Phường An Thới, Thành phố Phú Quốc, Kiên Giang",Kiên Giang,33,Kiên Giang
KH-00040,CÔNG TY TNHH VẠN LỢI,"đường Nguyễn Thái Học, Phường Quang Trung, Thành phố Vinh, Tỉnh Nghệ An, Việt Nam",Nghệ An,40,Nghệ An
KH-00041,CỬA HÀNG XE ĐẠP ĐÔNG NAM,"Phường Trúc Lâm, thị xã Nghi Sơn, tỉnh Thanh Hóa",Thanh Hóa,55,Thanh Hóa
KH-00042,HỘ KINH DOANH MẶT TRỜI,đường Ngọc Hồi - TT. Văn Điển - H. Thanh Trì - TP.Hà Nội - Việt Nam,Hà Nội,1,Hà Nội
KH-00043,CÔNG TY TNHH LONG PHÚ,"Yên Thế , Phường Hoà An , Quận Cẩm Lệ , TP Đà Nẵng",Đà Nẵng,16,Đà Nẵng
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,"Phan Châu Trinh, Phường An Xuân, Thành phố Tam Kỳ, Quảng Nam",Quảng Nam,46,Quảng Nam
KH-00045,CÔNG TY TNHH AN PHÁT,"Xã Duy Hải, Huyện Duy Xuyên, Quảng Nam",Quảng Nam,46,Quảng Nam
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,"Mẹ Suốt, Phường Hải Đình, Thành phố Đồng Hới, Tỉnh Quảng Bình",Quảng Bình,45,Quảng Bình
KH-00047,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,"TDP 3 Đoài, Thị trấn Yên Lạc, Huyện Yên Lạc, Tỉnh Vĩnh Phúc, Việt Nam",Vĩnh Phúc,61,Vĩnh Phúc
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,"Đức Lý, Lý Nhân, tỉnh Hà Nam",Hà Nam,24,Hà Nam
KH-00048,CÔNG TY TNHH THUỶ TIÊN,"khu đô thị Định Công, Đường Trần Điền, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",Hà Nội,1,Hà Nội
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,"Khu phố Chương Xá, Phường Hồ, Thị xã Thuận Thành, Tỉnh Bắc Ninh, Việt Nam",Bắc Ninh,7,Bắc Ninh
KH-00050,CÔNG TY TNHH AN PHÁT,"Km 78 quốc lộ 5, thôn Lương Xá, Xã Kim Liên, Huyện Kim Thành, Hải Dương",Hải Dương,26,Hải Dương
KH-00051,CÔNG TY CỔ PHẦN KHẢI HOÀN,"phố Văn Nhuế, Phường Bần Yên Nhân, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam",Hưng Yên,31,Hưng Yên
KH-00052,DOANH NGHIỆP TW TÂN TIẾN,"Km 28+100m, Quốc lộ 18, Phường Phả Lại, Thành phố Chí Linh, Hải Dương",Hải Dương,26,Hải Dương
KH-00053,CÔNG TY TNHH TRƯỜNG THỊNH,"Khu Công nghiệp Quang Minh, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",Hà Nội,1,Hà Nội
KH-00054,HỘ KINH DOANH TRÍ ĐỨC,"Thôn An Trai, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",Hà Nội,1,Hà Nội
KH-00055,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,"Cụm công nghiệp Cư Kuin, Xã Dray Bhăng, Huyện Cư Kuin, Tỉnh Đắk Lắk, Việt Nam",Đắk Lắk,17,Đắk Lắk
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,"Điện Biên Cửa Bắc, Nam Định",Điện Biên,19,Điện Biên
KH-00058,DOANH NGHIỆP TW SÁN LẠP,"Lê Thanh Nghị, TP Hải Dương",Hải Dương,26,Hải Dương
KH-00059,CÔNG TY TNHH TRÍ ĐỨC,"Đường Độc Lập, Thị Trấn Cẩm Giàng, Huyện Cẩm Giàng, tỉnh Hải Dương",Hải Dương,26,Hải Dương
KH-00060,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,"TK Bình Tiến, thị trấn Bình Mỹ, huyện Bình Lục, tỉnh Hà Nam",Hà Nam,24,Hà Nam
KH-00061,HỘ KINH DOANH THUỶ TIÊN,"TT. Mãn Đức, Tân Lạc, Hòa Bình",Hòa Bình,29,Hòa Bình
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,"Lê Lai, Hoàng Văn Thụ, TP. Lạng Sơn, Lạng Sơn",Lạng Sơn,36,Lạng Sơn
KH-00063,HỘ KINH DOANH VẠN LỢI,"xã Giáp Sơn, huyện Lục Ngạn, tỉnh Bắc Giang",Bắc Giang,5,Bắc Giang
KH-00064,CÔNG TY TNHH SƠN HÀ,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Hải Dương,26,Hải Dương
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,"phố Vác, Dân Hòa, Thanh Oai, Hà Nội",Hà Nội,1,Hà Nội
KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,"phố Săn, thị trấn Liên Quan, huyện Thạch Thất, thành phố Hà Nộ",Hà Nội,1,Hà Nội
KH-00067,DOANH NGHIỆP TW NGỌC ANH,"đường Vạn Xuân, thôn Cựu Quán, xã Đức Thượng, huyện Hoài Đức, TP. Hà Nội",Hà Nội,1,Hà Nội
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,"Trưng Trắc, thị xã Phúc Yên, tỉnh Vĩnh Phúc",Vĩnh Phúc,61,Vĩnh Phúc
KH-00069,CÔNG TY TNHH MINH PHƯƠNG,"hẻm 23 ngách 62, ngõ 29, Phố Khương Hạ, P.Khương Đình,Q. Thanh Xuân, TP. Hà Nội",Hà Nội,1,Hà Nội
KH-00070,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,"Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, TP Hồ Chí Minh",TP. Hồ Chí Minh,30,TP. Hồ Chí Minh
KH-00071,CỬA HÀNG XE ĐẠP BÌNH MINH,"đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Hà Nội,1,Hà Nội
KH-00072,DOANH NGHIỆP TW PHÚC AN,"Trần Phú, Phường Bắc Hồng, Thị xã Hồng Lĩnh, Hà Tĩnh",Hà Tĩnh,25,Hà Tĩnh
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,"đường ĐH-HH33, thôn 6, Xã Hoằng Ngọc, Huyện Hoằng Hoá, Tỉnh Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,"khu 11-12, Thị trấn Chi Nê, Huyện Lạc Thuỷ, Tỉnh Hòa Bình, Việt Nam",Hòa Bình,29,Hòa Bình
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,"phố Tây Sơn, Trung Liệt, Đống Đa, Hà Nội",Hà Nội,1,Hà Nội
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,"Lý Thái Tổ, Phường Trần Phú, Thành phố  Bắc Giang, Bắc Giang",Bắc Giang,5,Bắc Giang
KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,"Cụm 12, Xã Tích Giang, Huyện Phúc Thọ, Hà Nội",Hà Nội,1,Hà Nội
KH-00078,HỘ KINH DOANH VĨNH PHÁT,"Thửa đất số 203-2, Khu đất dịch vụ Khu Đồng Mới, đường An Kh, Xã An Khánh, Huyện Hoài Đức, Hà Nội",Hà Nội,1,Hà Nội
KH-00079,CÔNG TY TNHH ĐÔNG NAM,"đường Trần Nguyên Hãn, Phường Trần Nguyên Hãn, Thành phố  Bắc Giang, Bắc Giang",Bắc Giang,5,Bắc Giang
KH-00080,HỘ KINH DOANH VĨNH PHÁT,"xã Vạn Thắng, huyện Ba Vì, Hà Nội",Hà Nội,1,Hà Nội
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,"Xã Lương Tài, Huyện Văn Lâm, Hưng Yên",Hưng Yên,31,Hưng Yên
KH-00082,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,"Ngã tư thị trấn Lập Thạch, Lập Thạch, Vĩnh Phúc",Vĩnh Phúc,61,Vĩnh Phúc
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,"chợ mễ, Xã Mễ Sở, Huyện Văn Giang, Hưng Yên",An Giang,2,An Giang
KH-00084,CỬA HÀNG XE ĐẠP TOÀN THẮNG,"Ngã tư Kim Huy, Phan Đình Phùng, TX. Mỹ Hào, Hưng Yên",Hưng Yên,31,Hưng Yên
KH-00085,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,"phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Hà Nội,1,Hà Nội
KH-00086,CÔNG TY TNHH NGỌC ANH,"Chợ Bún, Đa Tốn, Gia Lâm, Hà Nội",Hà Nội,1,Hà Nội
KH-00087,CỬA HÀNG XE ĐẠP SÁN LẠP,"xã Diễn Kỷ, huyện Diễn Châu, tỉnh Nghệ An",Nghệ An,40,Nghệ An
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,"Khối 5 Thị Trấn Cầu Giát , Huyện Quỳnh Lưu , Tỉnh Nghệ An",Nghệ An,40,Nghệ An
KH-00089,HỘ KINH DOANH TOÀN THẮNG,"Khối 1, thị trấn Yên Thành, tỉnh Nghệ A",Nghệ An,40,Nghệ An
KH-00090,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,"đường Bà triệu, Phường Đông Thọ, Thành phố Thanh Hoá, Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00091,CÔNG TY TNHH BÌNH MINH,"Ngõ 68/53/22 Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, TP Hà Nội, Việt Nam",Hà Nội,1,Hà Nội
KH-00092,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI,"Lạc Long Quân, quận Tây Hồ, Hà Nội",Hà Nội,1,Hà Nội
KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,"Phạm Văn Đồng, Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Hà Nội,1,Hà Nội
KH-00094,HỘ KINH DOANH SÁN LẠP,"Khu Tân Tiến, xã Minh Tân, Cẩm Khê, Phú Thọ",Phú Thọ,43,Phú Thọ
KH-00095,CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN,"đường mương Đan Hoài, thôn 6, Xã Song Phương, Huyện Hoài Đức, Hà Nội",Hà Nội,1,Hà Nội
KH-00096,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,"Xã Tiên Phương, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam",Hà Nội,1,Hà Nội
KH-00097,CÔNG TY TNHH XUÂN MAI,"Lũng Kênh, Đức Giang, Hoài Đức, Hà Nội",Hà Nội,1,Hà Nội
KH-00098,HỘ KINH DOANH MẶT TRỜI,"đường phạm nguyễn du , phường nghi hoà , thị xã của lò , Nghệ An",Nghệ An,40,Nghệ An
KH-00099,CÔNG TY TNHH NGỌC ANH,"phố Nguyễn Thái Học, Thị trấn Phùng, Huyện Đan Phượng, Hà Nội",Hà Nội,1,Hà Nội
KH-00100,CỬA HÀNG XE ĐẠP ĐẠI LỢI,"CT1 Bắc Linh Đàm, Q. Hoàng Mai, Hà Nội",Hà Nội,1,Hà Nội
KH-00101,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,"ngõ 72 Dương Quảng Hàm, Cầu Giấy, Hà Nội",Hà Nội,1,Hà Nội
KH-00102,CỬA HÀNG XE ĐẠP AN PHÁT,"Ngã 4, Đường 295, Thôn Đông, Xã Hoàn Sơn, Huyện Tiên Du, Bắc Ninh",Bắc Ninh,7,Bắc Ninh
KH-00103,CÔNG TY CỔ PHẦN AN PHÁT,"phố Đông Hương, Thị trấn Nham Biền, Huyện Yên Dũng, Tỉnh Bắc Giang, Việt Nam",Bắc Giang,5,Bắc Giang
KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,"Chợ Đà, Thọ Dân, Triệu Sơn, Thanh Hóa",Thanh Hóa,55,Thanh Hóa
KH-00105,CỬA HÀNG XE ĐẠP PHÚC AN,"Thị trấn Thuận Thành, Bắc Ninh",Bắc Ninh,7,Bắc Ninh
KH-00106,CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG,"Phố Giắt, TT Triệu Sơn, Triệu Sơn, Thanh Hóa",Thanh Hóa,55,Thanh Hóa
KH-00107,CÔNG TY TNHH LONG PHÚ,"Thị trấn Chờ, Huyện Yên Phong, Bắc Ninh",Bắc Ninh,7,Bắc Ninh
KH-00108,HỘ KINH DOANH LÊ ANH,"Đường 131, Tiên Dược, Sóc Sơn, Hà Nội",Hà Nội,1,Hà Nội
KH-00109,CÔNG TY CỔ PHẦN VẠN LỢI,"Phố Yên, Tiền Phong, Mê Linh, Hà Nội",Hà Nội,1,Hà Nội
KH-00110,CỬA HÀNG XE ĐẠP TÂY BẮC,"Phố Hạ, Xã Mê Linh, Huyện Mê Linh, Thành phố Hà Nội",Hà Nội,1,Hà Nội
KH-00111,DOANH NGHIỆP TW MẶT TRỜI,"đường Minh Khai, phường Minh Khai, quận Hai Bà Trưng, thành phố Hà Nội",Hà Nội,1,Hà Nội
KH-00112,HỘ KINH DOANH TÚ ANH,Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Thanh Hóa,55,Thanh Hóa
KH-00113,DOANH NGHIỆP TW XÂY DỰNG,"Mỹ Sơn, Xã Vĩnh Yên, Huyện Vĩnh Lộc, Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00114,CỬA HÀNG XE ĐẠP NGỌC ANH,Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Thanh Hóa,55,Thanh Hóa
KH-00115,CÔNG TY CỔ PHẦN YÊN BÌNH,"Hà Bắc, Hà Trung, Thanh Hóa",Thanh Hóa,55,Thanh Hóa
KH-00116,HỘ KINH DOANH TOÀN THẮNG,"Trung tâm thương mại chợ Đồng Than, xã Đồng Than, h.Yên Mỹ, Hưng Yên",Hưng Yên,31,Hưng Yên
KH-00117,HỘ KINH DOANH YÊN BÌNH,"Liêu xá, Yên Mỹ, Hưng yên",Hưng Yên,31,Hưng Yên
KH-00118,HỘ KINH DOANH HÙNG CƯỜNG,"Thửa - CN-2A.2, Lô CN-2A - Khu công nghiệp Bảo Minh mở rộng, Xã Liên Minh, Huyện Vụ Bản, Nam Định",Nam Định,39,Nam Định
KH-00119,DOANH NGHIỆP TW MẶT TRỜI,"Hoài Đức, Hà Nội",Hà Nội,1,Hà Nội
KH-00120,CÔNG TY TNHH THANH BÌNH,"Phố Vồi, thị trấn Thường Tín, Huyện Thường Tín, thành phố Hà Nội",Hà Nội,1,Hà Nội
KH-00121,CÔNG TY TNHH CHI THÀNH,"Khu Giãn Dân Bùi Thị Cúc, TT. Ân Thi, Hưng Yên",Hưng Yên,31,Hưng Yên
KH-00122,CÔNG TY TNHH CHI THÀNH,"Đội 5, Thôn Hạ Tân, Xã Vĩnh Khúc, Huyện Văn Giang, Hưng Yên",An Giang,2,An Giang
KH-00123,CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ,"xã Tri Thủy, huyện Phú Xuyên, thành phố Hà Nội",Hà Nội,1,Hà Nội
KH-00124,CÔNG TY CỔ PHẦN THƯƠNG MẠI AN PHÁT,"Xã Đồng Thắng, Huyện Triệu Sơn, Tỉnh Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00125,HỘ KINH DOANH BÌNH MINH,"Triệu Sơn, Thanh Hóa",Thanh Hóa,55,Thanh Hóa
KH-00126,HỘ KINH DOANH HOÀ BÌNH,"Xã Thọ Vực, Huyện Triệu Sơn, Tỉnh Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00127,CỬA HÀNG XE ĐẠP TÂN TIẾN,"xã Tân Sơn, huyện Kim Bảng, tỉnh Hà Nam",Hà Nam,24,Hà Nam
KH-00128,HỘ KINH DOANH TÂY BẮC,"Ngã tư Chợ Còng, TT Tĩnh Gia, Thanh Hóa",Thanh Hóa,55,Thanh Hóa
KH-00129,CÔNG TY CỔ PHẦN LÊ ANH,"Xã Quảng Phong , Huyện Quảng Xương , Tĩnh Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,"Lê Thái Tổ, phố Giắt, Thị trấn Triệu Sơn, Huyện Triệu Sơn, Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00131,CÔNG TY TNHH QUANG VINH,"Xã Yên Nam, Duy Tiên, Hà Nam",Hà Nam,24,Hà Nam
KH-00132,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,"xã Diễn Tường, huyện Diễn Châu, tỉnh Nghệ An",Nghệ An,40,Nghệ An
KH-00133,DOANH NGHIỆP TW YÊN BÌNH,"Thị trấn Nga Sơn, Huyện Nga Sơn, Thanh Hoá",Thanh Hóa,55,Thanh Hóa
KH-00134,DOANH NGHIỆP TW PHÚ THỊNH,"Trần Nhân Tông, Phường Vĩnh Diện, Thị xã Điện Bàn, Tỉnh Quảng Nam, Việt Nam",Quảng Nam,46,Quảng Nam
KH-00135,CỬA HÀNG XE ĐẠP XUÂN MAI,"xã Gia Tân, Huyện Gia Viễn, tỉnh Ninh Bình, Việt Nam",Ninh Bình,41,Ninh Bình
KH-00136,CÔNG TY CỔ PHẦN NGỌC ANH,Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Thái Bình,53,Thái Bình
KH-00137,CÔNG TY TNHH THƯƠNG MẠI QUANG VINH,"xã Trác Văn, huyện Duy Tiên, tỉnh Hà Nam",Hà Nam,24,Hà Nam
KH-00138,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,"thị trấn An Bài, huyện Quỳnh Phụ, tỉnh Thái Bình",Thái Bình,53,Thái Bình
KH-00139,HỘ KINH DOANH YÊN BÌNH,"Khánh Thượng, Ba Vì, Hà Nội",Hà Nội,1,Hà Nội
KH-00140,CÔNG TY TNHH XÂY DỰNG,"La Văn Cầu, Thị trấn Nam Sách, Huyện Nam Sách, Hải Dương",Hải Dương,26,Hải Dương
KH-00141,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÂN TIẾN,"Số 721+723 đường Trường Chinh, tổ Dân Phố Trường Chinh 2 Phường Quán Trữ, Quận Kiến An, Thành phố Hải Phòng, Việt Nam",Hải Phòng,27,Hải Phòng
KH-00142,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,Từ Liêm-Hà Nội,Hà Nội,1,Hà Nội
KH-00143,DOANH NGHIỆP TW TÂY BẮC,"Phố Me, Thị trấn Hợp Hòa, Huyện Tam Dương, Tỉnh Vĩnh Phúc, Việt Nam",Vĩnh Phúc,61,Vĩnh Phúc
KH-00144,CỬA HÀNG XE ĐẠP QUANG VINH,"Đường Hùng Vương, Phường Tích Sơn, Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc, Việt Nam",Vĩnh Phúc,61,Vĩnh Phúc
KH-00145,HỘ KINH DOANH PHÚ THỊNH,"KDC số 11, Thôn Mỹ Trang, Xã Phổ Cường, Thị xã Đức Phổ, Quảng Ngãi",Quảng Ngãi,47,Quảng Ngãi
KH-00146,HỘ KINH DOANH LONG PHÚ,"C17, Xã Thanh Xương, Huyện Điện Biên, Điện Biên",Điện Biên,19,Điện Biên
KH-00147,CÔNG TY TNHH PHÚ THỊNH,"Quang Trung, phường Phú La, quận Hà Đông, Thành phố Hà Nội, Việt Nam",Hà Nội,1,Hà Nội
KH-00148,HỘ KINH DOANH THUỶ TIÊN,"đường Tuệ Tĩnh, Thôn Gạch, TT Lai Cách, Cẩm Giàng, Hải Dươn",Hải Dương,26,Hải Dương
KH-00149,CỬA HÀNG XE ĐẠP TÚ ANH,"Trần Hưng Đạo, P. An Lưu, TX Kinh Môn, Hải Dương",Hải Dương,26,Hải Dương
KH-00150,HỘ KINH DOANH SÁN LẠP,"Thôn Tiên Tảo, Xã Thanh An, Huyện Thanh Hà, Tỉnh Hải Dương, Việt Nam",Hải Dương,26,Hải Dương
KH-00151,CÔNG TY TNHH LÊ ANH,"Đường Nguyễn Chí Thanh , Phường Tân Giang , TP Hà Tĩnh , Tỉnh Hà Tĩnh",An Giang,2,An Giang
KH-00152,HỘ KINH DOANH TRÍ ĐỨC,"Khối 3 Thị Trấn Đô Lương , Huyện Đô Lương , Tỉnh Nghệ An",Nghệ An,40,Nghệ An
KH-00153,CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÚ THỊNH,"Xã Thạch Châu , Huyện Lộc Hà , Tỉnh Hà Tĩnh",Hà Tĩnh,25,Hà Tĩnh
KH-00154,DOANH NGHIỆP TW VĨNH PHÁT,"Xuân Giang, Xã Xuân Giang, Huyện Nghi Xuân, Hà Tĩnh",An Giang,2,An Giang
KH-00155,DOANH NGHIỆP TW HÙNG CƯỜNG,"Phường Quang Trung, Quận Hà Đông, Hà Nội",Hà Nội,1,Hà Nội
KH-00156,DOANH NGHIỆP TW VIỆT ANH,"Bà Triệu, Thị trấn Hậu Lộc, Huyện Hậu Lộc, Thanh Hoá",Thanh Hóa,55,Thanh Hóa
