product_code,product_name,color_old,color_new
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,Đen
000131002004005,Xe đạp Thống Nhất GN 06 20 2024 Đỏ,Đỏ,Đỏ
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,Ghi
000131002019002,Xe đạp Thống Nhất GN 06 20 2024 Vàng,Vàng,Vàng
000225002024000,Xe đạp Thống Nhất New 26 Tím,Tím,Tím
000216002001000,Xe đạp Thống Nhất GN 06-24 Đen,Đen,Đen
000124002024000,Xe đạp Thống Nhất Neo 2004 Tím,Tím,Tím
1000330010090000,"Xe đạp Thống Nhất The Powerpuff Girls 16"" Hồng",Hồng,Hồng
1000340010240000,"Xe đạp Thống Nhất TE The Powerpuff Girls 12"" Tím",Tím,Tím
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,Xanh Ngọc
1010020010050000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Cam",Cam,Cam
1010020010220000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Xanh dương",Xanh dương,Xanh Dương
1000300050200000,Xe đạp Thống Nhất MTB SPD 27.5 (xanh da trời),trời,Xanh Da Trời
000334002001000,Xe đạp Thống Nhất Super 20 Đen,Đen,Đen
000305002001000,Xe đạp Thống Nhất MTB 20-05 Đen,Đen,Đen
000335002004000,Xe đạp Thống Nhất Super 24 Đỏ,Đỏ,Đỏ
000334002013000,Xe đạp Thống Nhất Super 20 Xanh,Xanh,Xanh
000334002004000,Xe đạp Thống Nhất Super 20 Đỏ,Đỏ,Đỏ
000116002023000,Xe đạp thống nhất TE Love 16 Kem,Kem,Kem
000131002004000,Xe đạp Thống Nhất GN 06 20 Đỏ tươi,Đỏ tươi,Đỏ Tươi
100028005008000,Xe đạp Thống Nhất MTB Cyper 27.5 Ghi,Ghi,Ghi
100035005001000,"Xe đạp Thống Nhất MTB Cyper 2024 27.5""  Đen",Đen,Đen
000231003023000,Xe đạp Thống Nhất M2601 Đen Tem Xanh,Xanh,Xanh
1000310050080000,Xe đạp Thống Nhất Road RPD 700C Ghi,Ghi,Ghi
1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,Đen,Đen
000490002007000,Xe đạp đôi Thống Nhất 26 Coban,Coban,Coban
000490002004000,Xe đạp đôi Thống Nhất 26 Đỏ tươi,Đỏ tươi,Đỏ Tươi
000490002009000,Xe đạp đôi Thống Nhất 26 Hồng,Hồng,Hồng
000217004022000,Xe đạp Thống Nhất GN 06-26 2.0 Pro Xanh dương,Xanh dương,Xanh Dương
000208002003000,Xe đạp Thống Nhất 219-24 Đỏ đun,Đỏ đun,Đỏ Đun
000324000100000,Xe đạp Thống Nhất MTB 26-05_2023 Xanh rêu,rêu,Xanh Rêu
000209002003000,Xe đạp Thống Nhất 219-26 Đỏ đun,Đỏ đun,Đỏ Đun
000122002009000,Xe đạp Thống Nhất Neo 20-02 Hồng,Hồng,Hồng
000122002004000,Xe đạp Thống Nhất Neo 20-02 Đỏ tươi,Đỏ tươi,Đỏ Tươi
000122002002000,Xe đạp Thống Nhất Neo 20-02 Trắng,Trắng,Trắng
000122002007000,Xe đạp Thống Nhất Neo 20-02 Coban,Coban,Coban
1000310050200000,Xe đạp Thống Nhất Road RPD 700C Xanh da trời,trời,Xanh Da Trời
1060010000200000,Xe đạp Thống Nhất TE Super Man 16 Xanh,Xanh,Xanh
000224002024000,Xe đạp Thống Nhất New 24 Tím,Tím,Tím
000218002003000,Xe đạp Thống Nhất GN 06-27 Đỏ đun,Đỏ đun,Đỏ Đun
000227002014000,Xe đạp Thống Nhất LD 24-02 Xanh Santorini,Xanh Santorini,Xanh Santorini
000304002020000,Xe đạp Thống Nhất MTB 20-04 Tem Xanh da trời,trời,Xanh Da Trời
000216002003000,Xe đạp Thống Nhất GN 06-24 Đỏ đun,Đỏ đun,Đỏ Đun
000413002018000,Xe đạp Thống Nhất Highway 27.5 Đen mờ,mờ,Đen Mờ
000226002014000,Xe đạp Thống Nhất LD 24-01 Xanh Santorini,Xanh Santorini,Xanh Santorini
1010020010080000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_17 Ghi",Ghi,Ghi
000230002002000,Xe đạp Thống Nhất LD 26 Trắng,Trắng,Trắng
000231003002001,Xe đạp Thống Nhất M2601 Shimano Trắng (tem tím),tím,Trắng
000231003005001,Xe đạp Thống Nhất M2601 Shimano Đen (tem cam),cam,Đen
000123002004000,Xe đạp Thống Nhất Neo 20-03 Đỏ tươi,Đỏ tươi,Đỏ Tươi
1010020000080000,"Xe đạp Thống Nhất GRX AT 27,5_2.0_15 Ghi",Ghi,Ghi
000218004008001,Xe đạp Thống Nhất GN 06-27 2.0 Pro Shimano Ghi,Ghi,Ghi
000217004008001,Xe đạp Thống Nhất GN 06-26 2.0 Pro Shimano Ghi,Ghi,Ghi
000115002019001,Xe đạp Thống Nhất 16 Ben 10 màu vàng,vàng,Vàng
000124002004000,Xe đạp Thống Nhất Neo 2004 Đỏ tươi,Đỏ tươi,Đỏ Tươi
000231003022001,Xe đạp Thống Nhất M2601 Shimano Xanh (tem trắng),trắng,Trắng
000231003023001,Xe đạp Thống Nhất M2601 Shimano Đen (tem xanh),xanh,Xanh
000114002000000,Xe đạp Thống Nhất TE 16-04,16-04,
000218004009001,Xe đạp Thống Nhất GN 06-27 2.0 Pro BLACKPINK,BLACKPINK,
000217004022001,Xe đạp Thống Nhất GN 06-26 2.0 Pro Shimano Xanh,Xanh,Xanh
000224002007000,Xe đạp Thống Nhất New 24 Coban,Coban,Coban
000303002005000,Xe đạp Thống Nhất MTB 20-03 Tem cam,Tem cam,Cam
000303002019000,Xe đạp Thống Nhất MTB 20-03 Tem Vàng,Vàng,Vàng
000303002004000,Xe đạp Thống Nhất MTB 20-03 Tem đỏ,Tem đỏ,Đỏ
000304002005000,Xe đạp Thống Nhất MTB 20-04 Tem cam,Tem cam,Cam
000303002003000,Xe đạp Thống Nhất MTB 20-03 Đỏ đun,Đỏ đun,Đỏ Đun
000123002002000,Xe đạp Thống Nhất Neo 20-03 Trắng,Trắng,Trắng
000230002001000,Xe đạp Thống Nhất M 27-01 Đen,Đen,Đen
000230002027000,Xe đạp Thống Nhất M 27-01 Xanh nước biển,Xanh nước biển,Xanh Nước Biển
000331002001000,Xe đạp Thống Nhất MTB 26-02 đen,đen,Đen
000104002009000,Xe đạp Thống Nhất Tom & Jerry 14 Hồng,Hồng,Hồng
1010030010130000,Xe đạp Thống Nhất GRX 2.0 Xanh lá,Xanh lá,Xanh Lá
000333002008000,Xe đạp Thống Nhất Super 26 S ghi,ghi,Ghi
000230002013000,Xe đạp Thống Nhất LD 26 Pastel Xanh,Pastel Xanh,Xanh Pastel
1000320050010000,Xe đạp Thống Nhất Road RPD 700C V5 Đen,Đen,Đen
1000320050020000,Xe đạp Thống Nhất Road RPD 700C V5 Trắng,Trắng,Trắng
000232003008000,Xe đạp Thống Nhất MS 27.5 Ghi,Ghi,Ghi
000232003002000,Xe đạp Thống Nhất MS 27.5 Trắng,Trắng,Trắng
000336002001000,Xe đạp Thống Nhất SK 20 đen,đen,Đen
000336002004000,Xe đạp Thống Nhất SK 20 đỏ,đỏ,Đỏ
000336002022000,Xe đạp Thống Nhất SK 20 xanh,xanh,Xanh
100029005010000,Xe đạp Thống Nhất CPD 700C Đen,Đen,Đen
1000400050020000,Xe đạp Thống Nhất MTB SPD 27.5 17 Trắng,Trắng,Trắng
1000400050010000,Xe đạp Thống Nhất MTB SPD 27.5 17 Đen,Đen,Đen
000337002001000,Xe đạp Thống Nhất SK 24 đen,đen,Đen
000337002008000,Xe đạp Thống Nhất SK 24 ghi,ghi,Ghi
000230002014000,Xe đạp Thống Nhất LD 26 Xanh Santorini,Xanh Santorini,Xanh Santorini
000230002009000,Xe đạp Thống Nhất LD 26 Pastel Hồng,Hồng,Hồng Pastel
1000400050080010,Xe đạp Thống Nhất MTB SPD 27.5 17 Ghi,Ghi,Ghi
1000400050200000,Xe đạp Thống Nhất MTB SPD 27.5 17 Xanh,Xanh,Xanh
100029005090000,Xe đạp Thống Nhất CPD 700C Hồng,Hồng,Hồng
000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,Kem
100029005220000,Xe đạp Thống Nhất CPD 700C Xanh,Xanh,Xanh
100029005080000,Xe đạp Thống Nhất CPD 700C Ghi,Ghi,Ghi
000122002009001,Xe đạp Thống Nhất Bubbles 20 Hồng dạ quang,quang,Hồng Dạ Quang
000122002019000,Xe đạp Thống Nhất Bubbles 20 Vàng chanh,chanh,Vàng Chanh
000122002022000,Xe đạp Thống Nhất Bubbles 20 Xanh,Xanh,Xanh
000122002024000,Xe đạp Thống Nhất Bubbles 20 Tím dạ quang,quang,Tím Dạ Quang
000219002023000,Xe đạp Thống Nhất GN 2.0 700C Kem,Kem,Kem
000105002013000,Xe đạp Thống Nhất Batwheels 12 Xanh,Xanh,Xanh
000105002004000,Xe đạp Thống Nhất Batwheels 12 Đỏ,Đỏ,Đỏ
000106002004000,Xe đạp Thống Nhất Batwheels 16 Đỏ,Đỏ,Đỏ
000102002023000,Xe đạp Thống Nhất We Bare Bears 12 Kem,Kem,Kem
1000320050200000,Xe đạp Thống Nhất Road RPD 700C V5 Xanh da trời,trời,Xanh Da Trời
000219002022000,Xe đạp Thống Nhất GN 2.0 700C Xanh,Xanh,Xanh
000333002022002,Xe đạp Thống Nhất Super 26 S xanh,xanh,Xanh
000132002022001,Xe đạp Thống Nhất GN 2.0 20 xanh - Superman,Superman,Xanh
000132002003001,Xe đạp Thống Nhất GN 2.0 20 đỏ - Wonderwoman,Wonderwoman,Đỏ
000103002009000,Xe đạp Thống Nhất We Bare Bears 16 Hồng,Hồng,Hồng
000106002001000,Xe đạp Thống Nhất Batwheels 16 Đen,Đen,Đen
000106002013000,Xe đạp Thống Nhất Batwheels 16 Xanh,Xanh,Xanh
000337002022000,Xe đạp Thống Nhất SK 24 xanh,xanh,Xanh
1000400050090000,Xe đạp Thống Nhất MTB SPD 27.5 15 Hồng,Hồng,Hồng
000104002020000,Xe đạp Thống Nhất Tom & Jerry 14 Xanh da trời,trời,Xanh Da Trời
000303002020000,Xe đạp Thống Nhất MTB 20-03 Tem Xanh da trời,trời,Xanh Da Trời
000231002002000,Xe đạp Thống Nhất LD 26 We Bare Bears Trắng,Trắng,Trắng
000231002023000,Xe đạp Thống Nhất LD 26 We Bare Bears Kem,Kem,Kem
000103002025000,Xe đạp Thống Nhất We Bare Bears 16 Xanh Mint,Mint,Xanh Mint
000219002012000,Xe đạp Thống Nhất GN 2.0 700C Ghi,Ghi,Ghi
000232003009000,Xe đạp Thống Nhất MS 27.5 Hồng,Hồng,Hồng
1010030010220000,Xe đạp Thống Nhất GRX 2.0 Xanh dương,Xanh dương,Xanh Dương
1000400050080000,Xe đạp Thống Nhất MTB SPD 27.5 15 Ghi,Ghi,Ghi
000102002009000,Xe đạp Thống Nhất We Bare Bears 12 Hồng,Hồng,Hồng
000132002001001,Xe đạp Thống Nhất GN 2.0 20 đen - Bat man,Bat man,Đen
000233003022001,Xe đạp Thống Nhất MS Superman 27.5 DC xanh,xanh,Xanh
000406002004000,Xe đạp Thống Nhất nam 0209 đỏ đậm,đậm,Đỏ Đậm
000225002002001,Xe đạp Thống Nhất New 26 Trắng DA HP,HP,Trắng
000225002007001,Xe đạp Thống Nhất New 26 Xanh DA HP,HP,Xanh
000225002004001,Xe đạp Thống Nhất New 26 màu đỏ DA HP,HP,Đỏ
000225002015001,Xe đạp Thống Nhất New 26 Café/nâu DA HP,HP,Nâu
000333002001003,Xe đạp Thống Nhất Super 26 S đen DA HP,HP,Đen
000333002022003,Xe đạp Thống Nhất Super 26 S xanh DA HP,HP,Xanh
000333002008003,Xe đạp Thống Nhất Super 26 S ghi DA HP,HP,Ghi
000407002019000,Xe đạp Thống Nhất nữ 0209 Base vàng cánh gián,gián,Vàng Cánh Gián
000419002015000,Xe đạp Thống Nhất nam 0209 Base nâu,nâu,Nâu
000407002010000,Xe đạp Thống Nhất nữ 0209 Base xanh,xanh,Xanh
000103002023000,Xe đạp Thống Nhất We Bare Bears 16 Kem,Kem,Kem
1000320010040000,"Xe đạp Thống Nhất Wonder Woman 20"" Đỏ",Đỏ,Đỏ
1010130010220000,Xe đạp Thống Nhất REX Xanh dương,Xanh dương,Xanh Dương
000217002007001,Xe đạp Thống Nhất GN 06 26 D Coban,Coban,Coban
1010130010050000,Xe đạp Thống Nhất REX Cam,Cam,Cam
000333002001002,Xe đạp Thống Nhất Super 26 S đen,đen,Đen
1010030010260000,Xe đạp Thống Nhất GRX 2.0 Be,Be,Be
