customer_code,customer_name,tax_code,address,province_id_old,province_id,province_name_extract,region,matched_alias,mapping_status
KH-00042,HỘ KINH DOANH MẶT TRỜI,281448381,đường Ngọc Hồi - TT. Văn Điển - H. Thanh Trì - TP.Hà Nội - Việt Nam,,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00043,CÔNG TY TNHH LONG PHÚ,286451085,"Yên Thế , Phường Hoà An , Quận Cẩm Lệ , TP Đà Nẵng",,16,Đà Nẵng,Miền Trung,da nang,MATCHED_REGEX
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,121456518,"Phan Châu Trinh, Phường An Xuân, Thành phố Tam Kỳ, Quảng Nam",,46,Quảng Nam,Miền Trung,quang nam,MATCHED_REGEX
KH-00045,CÔNG TY TNHH AN PHÁT,209987788,"Xã Duy Hải, Huyện Duy Xuyên, Quảng Nam",,46,Quảng Nam,Miền Trung,quang nam,MATCHED_REGEX
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,166574876,"Mẹ Suốt, Phường Hải Đình, Thành phố Đồng Hới, Tỉnh Quảng Bình",,45,Quảng Bình,Miền Trung,quang binh,MATCHED_REGEX
KH-00047,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,194678179,"TDP 3 Đoài, Thị trấn Yên Lạc, Huyện Yên Lạc, Tỉnh Vĩnh Phúc, Việt Nam",,61,Vĩnh Phúc,Miền Bắc,vinh phuc,MATCHED_REGEX
KH-00048,CÔNG TY TNHH THUỶ TIÊN,297282681,"khu đô thị Định Công, Đường Trần Điền, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,209463930,"Khu phố Chương Xá, Phường Hồ, Thị xã Thuận Thành, Tỉnh Bắc Ninh, Việt Nam",,7,Bắc Ninh,Miền Bắc,bac ninh,MATCHED_REGEX
KH-00050,CÔNG TY TNHH AN PHÁT,207526839,"Km 78 quốc lộ 5, thôn Lương Xá, Xã Kim Liên, Huyện Kim Thành, Hải Dương",,26,Hải Dương,Miền Bắc,hai duong,MATCHED_SUBSTRING_PRIMARY
KH-00051,CÔNG TY CỔ PHẦN KHẢI HOÀN,186812248,"phố Văn Nhuế, Phường Bần Yên Nhân, Thị xã Mỹ Hào, Tỉnh Hưng Yên, Việt Nam",,31,Hưng Yên,Miền Bắc,hung yen,MATCHED_REGEX
KH-00052,DOANH NGHIỆP TW TÂN TIẾN,189570860,"Km 28+100m, Quốc lộ 18, Phường Phả Lại, Thành phố Chí Linh, Hải Dương",,26,Hải Dương,Miền Bắc,hai duong,MATCHED_SUBSTRING_PRIMARY
KH-00053,CÔNG TY TNHH TRƯỜNG THỊNH,242860511,"Khu Công nghiệp Quang Minh, Thị trấn Quang Minh, Huyện Mê Linh, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00054,HỘ KINH DOANH TRÍ ĐỨC,182963970,"Thôn An Trai, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00055,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,171410404,"Cụm công nghiệp Cư Kuin, Xã Dray Bhăng, Huyện Cư Kuin, Tỉnh Đắk Lắk, Việt Nam",,17,Đắk Lắk,Miền Trung,dak lak,MATCHED_REGEX
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,176151671,"Đức Lý, Lý Nhân, tỉnh Hà Nam",,24,Hà Nam,Miền Bắc,ha nam,MATCHED_REGEX
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,141932840,"Điện Biên Cửa Bắc, Nam Định",,19,Điện Biên,Miền Bắc,dien bien,MATCHED_REGEX
KH-00058,DOANH NGHIỆP TW SÁN LẠP,127997343,"Lê Thanh Nghị, TP Hải Dương",,26,Hải Dương,Miền Bắc,hai duong,MATCHED_SUBSTRING_PRIMARY
KH-00059,CÔNG TY TNHH TRÍ ĐỨC,280495894,"Đường Độc Lập, Thị Trấn Cẩm Giàng, Huyện Cẩm Giàng, tỉnh Hải Dương",,26,Hải Dương,Miền Bắc,hai duong,MATCHED_SUBSTRING_PRIMARY
KH-00060,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,158104223,"TK Bình Tiến, thị trấn Bình Mỹ, huyện Bình Lục, tỉnh Hà Nam",,24,Hà Nam,Miền Bắc,ha nam,MATCHED_REGEX
KH-00061,HỘ KINH DOANH THUỶ TIÊN,244531657,"TT. Mãn Đức, Tân Lạc, Hòa Bình",,29,Hòa Bình,Miền Bắc,hoa binh,MATCHED_REGEX
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,227299798,"Lê Lai, Hoàng Văn Thụ, TP. Lạng Sơn, Lạng Sơn",,36,Lạng Sơn,Miền Bắc,lang son,MATCHED_REGEX
KH-00063,HỘ KINH DOANH VẠN LỢI,215377450,"xã Giáp Sơn, huyện Lục Ngạn, tỉnh Bắc Giang",,5,Bắc Giang,Miền Bắc,bac giang,MATCHED_REGEX
KH-00064,CÔNG TY TNHH SƠN HÀ,275306629,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,,26,Hải Dương,Miền Bắc,hai duong,MATCHED_SUBSTRING_PRIMARY
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,171738234,"phố Vác, Dân Hòa, Thanh Oai, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,112533522,"phố Săn, thị trấn Liên Quan, huyện Thạch Thất, thành phố Hà Nộ",,1,Hà Nội,Miền Bắc,thanh pho ha noi,MATCHED_REGEX
KH-00067,DOANH NGHIỆP TW NGỌC ANH,155578196,"đường Vạn Xuân, thôn Cựu Quán, xã Đức Thượng, huyện Hoài Đức, TP. Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,131374677,"Trưng Trắc, thị xã Phúc Yên, tỉnh Vĩnh Phúc",,61,Vĩnh Phúc,Miền Bắc,vinh phuc,MATCHED_REGEX
KH-00069,CÔNG TY TNHH MINH PHƯƠNG,222107650,"hẻm 23 ngách 62, ngõ 29, Phố Khương Hạ, P.Khương Đình,Q. Thanh Xuân, TP. Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00070,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,308019803,"Nguyễn Văn Hưởng, Phường Thảo Điền, Thành phố Thủ Đức, TP Hồ Chí Minh",,30,TP. Hồ Chí Minh,Miền Nam,tp ho chi minh,MATCHED_REGEX
KH-00071,CỬA HÀNG XE ĐẠP BÌNH MINH,205898992,"đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00072,DOANH NGHIỆP TW PHÚC AN,248690869,"Trần Phú, Phường Bắc Hồng, Thị xã Hồng Lĩnh, Hà Tĩnh",,25,Hà Tĩnh,Miền Trung,ha tinh,MATCHED_REGEX
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,215854601,"đường ĐH-HH33, thôn 6, Xã Hoằng Ngọc, Huyện Hoằng Hoá, Tỉnh Thanh Hoá",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,162270903,"khu 11-12, Thị trấn Chi Nê, Huyện Lạc Thuỷ, Tỉnh Hòa Bình, Việt Nam",,29,Hòa Bình,Miền Bắc,hoa binh,MATCHED_REGEX
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,193530691,"phố Tây Sơn, Trung Liệt, Đống Đa, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,207110960,"Lý Thái Tổ, Phường Trần Phú, Thành phố  Bắc Giang, Bắc Giang",,5,Bắc Giang,Miền Bắc,bac giang,MATCHED_REGEX
KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,129442890,"Cụm 12, Xã Tích Giang, Huyện Phúc Thọ, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00078,HỘ KINH DOANH VĨNH PHÁT,169872073,"Thửa đất số 203-2, Khu đất dịch vụ Khu Đồng Mới, đường An Kh, Xã An Khánh, Huyện Hoài Đức, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00079,CÔNG TY TNHH ĐÔNG NAM,212296712,"đường Trần Nguyên Hãn, Phường Trần Nguyên Hãn, Thành phố  Bắc Giang, Bắc Giang",,5,Bắc Giang,Miền Bắc,bac giang,MATCHED_REGEX
KH-00080,HỘ KINH DOANH VĨNH PHÁT,204708911,"xã Vạn Thắng, huyện Ba Vì, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,114437050,"Xã Lương Tài, Huyện Văn Lâm, Hưng Yên",,31,Hưng Yên,Miền Bắc,hung yen,MATCHED_REGEX
KH-00082,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,173803785,"Ngã tư thị trấn Lập Thạch, Lập Thạch, Vĩnh Phúc",,61,Vĩnh Phúc,Miền Bắc,vinh phuc,MATCHED_REGEX
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,199364060,"chợ mễ, Xã Mễ Sở, Huyện Văn Giang, Hưng Yên",,31,Hưng Yên,Miền Bắc,hung yen,MATCHED_REGEX
KH-00084,CỬA HÀNG XE ĐẠP TOÀN THẮNG,240631861,"Ngã tư Kim Huy, Phan Đình Phùng, TX. Mỹ Hào, Hưng Yên",,31,Hưng Yên,Miền Bắc,hung yen,MATCHED_REGEX
KH-00085,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,129408873,"phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00086,CÔNG TY TNHH NGỌC ANH,223360422,"Chợ Bún, Đa Tốn, Gia Lâm, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00087,CỬA HÀNG XE ĐẠP SÁN LẠP,293724739,"xã Diễn Kỷ, huyện Diễn Châu, tỉnh Nghệ An",,40,Nghệ An,Miền Trung,nghe an,MATCHED_SUBSTRING_PRIMARY
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,234800323,"Khối 5 Thị Trấn Cầu Giát , Huyện Quỳnh Lưu , Tỉnh Nghệ An",,40,Nghệ An,Miền Trung,nghe an,MATCHED_SUBSTRING_PRIMARY
KH-00089,HỘ KINH DOANH TOÀN THẮNG,299680508,"Khối 1, thị trấn Yên Thành, tỉnh Nghệ A",,40,Nghệ An,Miền Trung,nghe an,MATCHED_REGEX
KH-00090,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,171647676,"đường Bà triệu, Phường Đông Thọ, Thành phố Thanh Hoá, Thanh Hoá",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00091,CÔNG TY TNHH BÌNH MINH,202478042,"Ngõ 68/53/22 Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, TP Hà Nội, Việt Nam",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00092,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI,195817495,"Lạc Long Quân, quận Tây Hồ, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,228060819,"Phạm Văn Đồng, Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00094,HỘ KINH DOANH SÁN LẠP,113574479,"Khu Tân Tiến, xã Minh Tân, Cẩm Khê, Phú Thọ",,43,Phú Thọ,Miền Bắc,phu tho,MATCHED_REGEX
KH-00095,CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN,115961215,"đường mương Đan Hoài, thôn 6, Xã Song Phương, Huyện Hoài Đức, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00096,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,171916408,"Xã Tiên Phương, Huyện Chương Mỹ, Thành phố Hà Nội, Việt Nam",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00097,CÔNG TY TNHH XUÂN MAI,251696517,"Lũng Kênh, Đức Giang, Hoài Đức, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00098,HỘ KINH DOANH MẶT TRỜI,233256612,"đường phạm nguyễn du , phường nghi hoà , thị xã của lò , Nghệ An",,40,Nghệ An,Miền Trung,nghe an,MATCHED_SUBSTRING_PRIMARY
KH-00099,CÔNG TY TNHH NGỌC ANH,223368484,"phố Nguyễn Thái Học, Thị trấn Phùng, Huyện Đan Phượng, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00100,CỬA HÀNG XE ĐẠP ĐẠI LỢI,204436190,"CT1 Bắc Linh Đàm, Q. Hoàng Mai, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00101,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,133186744,"ngõ 72 Dương Quảng Hàm, Cầu Giấy, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00102,CỬA HÀNG XE ĐẠP AN PHÁT,209357696,"Ngã 4, Đường 295, Thôn Đông, Xã Hoàn Sơn, Huyện Tiên Du, Bắc Ninh",,7,Bắc Ninh,Miền Bắc,bac ninh,MATCHED_REGEX
KH-00103,CÔNG TY CỔ PHẦN AN PHÁT,146215925,"phố Đông Hương, Thị trấn Nham Biền, Huyện Yên Dũng, Tỉnh Bắc Giang, Việt Nam",,5,Bắc Giang,Miền Bắc,bac giang,MATCHED_REGEX
KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,213878919,"Chợ Đà, Thọ Dân, Triệu Sơn, Thanh Hóa",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00105,CỬA HÀNG XE ĐẠP PHÚC AN,271411995,"Thị trấn Thuận Thành, Bắc Ninh",,7,Bắc Ninh,Miền Bắc,bac ninh,MATCHED_REGEX
KH-00106,CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG,148512771,"Phố Giắt, TT Triệu Sơn, Triệu Sơn, Thanh Hóa",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00107,CÔNG TY TNHH LONG PHÚ,296939938,"Thị trấn Chờ, Huyện Yên Phong, Bắc Ninh",,7,Bắc Ninh,Miền Bắc,bac ninh,MATCHED_REGEX
KH-00108,HỘ KINH DOANH LÊ ANH,172904294,"Đường 131, Tiên Dược, Sóc Sơn, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00109,CÔNG TY CỔ PHẦN VẠN LỢI,235653577,"Phố Yên, Tiền Phong, Mê Linh, Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00110,CỬA HÀNG XE ĐẠP TÂY BẮC,277647686,"Phố Hạ, Xã Mê Linh, Huyện Mê Linh, Thành phố Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00111,DOANH NGHIỆP TW MẶT TRỜI,234363244,"đường Minh Khai, phường Minh Khai, quận Hai Bà Trưng, thành phố Hà Nội",,1,Hà Nội,Miền Bắc,ha noi,MATCHED_SUBSTRING_PRIMARY
KH-00112,HỘ KINH DOANH TÚ ANH,266240207,Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00113,DOANH NGHIỆP TW XÂY DỰNG,211961552,"Mỹ Sơn, Xã Vĩnh Yên, Huyện Vĩnh Lộc, Thanh Hoá",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00114,CỬA HÀNG XE ĐẠP NGỌC ANH,225069136,Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00115,CÔNG TY CỔ PHẦN YÊN BÌNH,279076709,"Hà Bắc, Hà Trung, Thanh Hóa",,55,Thanh Hóa,Miền Trung,thanh hoa,MATCHED_REGEX
KH-00116,HỘ KINH DOANH TOÀN THẮNG,229366789,"Trung tâm thương mại chợ Đồng Than, xã Đồng Than, h.Yên Mỹ, Hưng Yên",,31,Hưng Yên,Miền Bắc,hung yen,MATCHED_REGEX
