order_id,so_number,product_code,quantity,unit_price,line_total
,BH26.0941,1000240020090000,2,943888,1887776
,BH26.0941,000231002023000,1,2172222,2172222
,BH26.0941,000336002022000,1,1377777,1377777
,BH26.0941,000225002015000,2,1616111,3232222
,BH26.0941,000225002023000,1,1616111,1616111
,BH26.0941,000224002023000,2,1555000,3110000
,BH26.0942,000230002009000,5,1799444,8997220
,BH26.0942,000230002023000,7,1799444,12596108
,BH26.0942,000336002004000,7,1377777,9644439
,BH26.0942,000219002022000,4,1744444,6977776
,BH26.0942,000225002015000,8,1616111,12928888
,BH26.0942,000225002023000,5,1616111,8080555
,BH26.0942,000232003008000,7,2233333,15633331
,BH26.0942,000331002022000,7,1799444,12596108
,BH26.0942,1000270020150000,2,943888,1887776
,BH26.0942,000216003001000,5,1530555,7652775
,BH26.0942,000216003008000,2,1530555,3061110
,BH26.0942,000217003001000,3,1591666,4774998
,BH26.0942,000333002001002,3,2294444,6883332
,BH26.0942,000333002008000,2,2294444,4588888
,BH26.0943,000230002002000,1,1799444,1799444
,BH26.0943,000337002001000,1,1622222,1622222
,BH26.0943,000337002008000,3,1622222,4866666
,BH26.0943,000106002001000,1,1262037,1262037
,BH26.0943,000106002013000,1,1262037,1262037
,BH26.0943,000336002022000,3,1377777,4133331
,BH26.0943,000224002002000,2,1555000,3110000
,BH26.0943,000216003001000,2,1530555,3061110
,BH26.0943,000219002012000,1,1744444,1744444
,BH26.0943,000219002023000,1,1744444,1744444
,BH26.0943,000125002009000,1,1310555,1310555
,BH26.0943,000226003002000,1,1683333,1683333
,BH26.0943,000230002013000,1,1799444,1799444
,BH26.0943,1060010000200000,2,1326851,2653702
,BH26.0943,1040010000080000,1,1326851,1326851
,BH26.0943,000125002002000,1,1310555,1310555
,BH26.0945,000331002004000,2,1799444,3598888
,BH26.0945,000224002023000,2,1555000,3110000
,BH26.0945,000125002009000,2,1310555,2621110
,BH26.0945,000125002002000,2,1310555,2621110
,BH26.0945,000125002013000,1,1310555,1310555
,BH26.0945,000125002023000,2,1310555,2621110
,BH26.0945,000124002009000,2,1111111,2222222
,BH26.0945,000124002024000,2,1111111,2222222
,BH26.0945,000336002022000,1,1377777,1377777
,BH26.0945,000336002001000,1,1377777,1377777
,BH26.0945,000336002004000,1,1377777,1377777
,BH26.0945,000230002009000,2,1799444,3598888
,BH26.0945,000337002008000,1,1622222,1622222
,BH26.0946,000125002013000,1,1310555,1310555
,BH26.0946,000125002009000,1,1310555,1310555
,BH26.0946,000131002004005,1,1169907,1169907
,BH26.0946,000217002003000,1,1469444,1469444
,BH26.0946,000217002007000,1,1469444,1469444
,BH26.0946,000225002015000,2,1616111,3232222
,BH26.0946,000225002002000,1,1616111,1616111
,BH26.0946,000224002015000,2,1555000,3110000
,BH26.0946,000337002001000,1,1622222,1622222
,BH26.0946,000337002008000,1,1622222,1622222
,BH26.0946,000337002022000,1,1622222,1622222
,BH26.0946,000230002023000,1,1799444,1799444
,BH26.0946,000217002003000,1,1469444,1469444
,BH26.0946,000209002025000,2,1469444,2938888
,BH26.0946,000225002025000,2,1616111,3232222
,BH26.0947,000225002002000,2,1616111,3232222
,BH26.0947,1000240020090000,2,943888,1887776
,BH26.0947,1000270020220000,2,943888,1887776
,BH26.0947,000331002001000,1,1799444,1799444
,BH26.0947,000337002001000,1,1622222,1622222
,BH26.0947,000337002008000,1,1622222,1622222
,BH26.0947,000131002004005,1,1169907,1169907
,BH26.0947,000216003001000,2,1530555,3061110
,BH26.0948,000207004000000,2,1530555,3061110
,BH26.0948,000209002007000,1,1469444,1469444
,BH26.0949,000225002023000,2,1616111,3232222
,BH26.0949,000225002015000,3,1616111,4848333
,BH26.0949,000216003001000,3,1530555,4591665
,BH26.0949,000217003008000,2,1591666,3183332
,BH26.0949,000209002025000,5,1469444,7347220
,BH26.0949,000209002003000,3,1469444,4408332
,BH26.0949,000125002009000,5,1310555,6552775
,BH26.0949,000331002001000,1,1799444,1799444
,BH26.0949,1000320050200000,1,2960555,2960555
,BH26.0951,000230002014000,1,1799444,1799444
,BH26.0951,000122002009001,3,1310555,3931665
,BH26.0951,1000240020090000,1,943888,943888
,BH26.0951,000131002008001,1,1169907,1169907
,BH26.0951,000230002023000,4,1799444,7197776
,BH26.0951,000337002001000,2,1622222,3244444
,BH26.0951,000337002022000,2,1622222,3244444
,BH26.0951,1000270020220000,1,943888,943888
,BH26.0951,1000270020150000,1,943888,943888
,BH26.0952,000216003001000,5,1530555,7652775
,BH26.0952,000225002025000,3,1616111,4848333
,BH26.0952,000225002002000,2,1616111,3232222
,BH26.0952,1000400050010000,1,2960555,2960555
,BH26.0952,1000400050080010,1,2960555,2960555
,BH26.0952,1000400050200000,1,2960555,2960555
,BH26.0952,000219002012000,2,1744444,3488888
,BH26.0952,000219002022000,2,1744444,3488888
,BH26.0952,000225002015000,2,1616111,3232222
,BH26.0952,000224002015000,2,1555000,3110000
,BH26.0952,000224002026000,2,1555000,3110000
,BH26.0952,000225002025000,2,1616111,3232222
,BH26.0952,000217003008000,2,1591666,3183332
,BH26.0952,000217002007000,2,1469444,2938888
,BH26.0952,000337002001000,1,1622222,1622222
,BH26.0952,000337002008000,1,1622222,1622222
,BH26.0952,000125002023000,3,1310555,3931665
,BH26.0952,000230002013000,2,1799444,3598888
,BH26.0953,000231002002000,5,2172222,10861110
,BH26.0953,000225002002000,5,1616111,8080555
,BH26.0953,000225002009000,2,1616111,3232222
,BH26.0953,000336002001000,4,1377777,5511108
,BH26.0953,000331002022000,5,1799444,8997220
,BH26.0953,000225002002000,6,1616111,9696666
,BH26.0954,000216003008000,1,1530555,1530555
,BH26.0954,1000400050200000,1,2960555,2960555
,BH26.0954,1000400050010000,1,2960555,2960555
,BH26.0954,000224002026000,2,1555000,3110000
,BH26.0954,000224002015000,2,1555000,3110000
,BH26.0954,000217003001000,4,1591666,6366664
,BH26.0954,000217003008000,8,1591666,12733328
,BH26.0954,000216003001000,10,1530555,15305550
,BH26.0954,000208002023000,3,1408333,4224999
,BH26.0954,000208002003000,1,1408333,1408333
,BH26.0954,000224002023000,7,1555000,10885000
,BH26.0954,100029005080000,2,2960555,5921110
,BH26.0954,000125002023000,1,1310555,1310555
,BH26.0954,000331002001000,1,1799444,1799444
,BH26.0954,000217003001000,2,1591666,3183332
,BH26.0954,000216003008000,1,1530555,1530555
,BH26.0954,1000240020220000,3,943888,2831664
,BH26.0955,000207004000000,6,1530555,9183330
,BH26.0955,000215004000000,3,1591666,4774998
,BH26.0955,100029005080000,2,2960555,5921110
,BH26.0955,000333002001002,2,2294444,4588888
,BH26.0955,000230002023000,5,1799444,8997220
,BH26.0955,000225002015000,5,1616111,8080555
,BH26.0955,000333002008000,2,2294444,4588888
,BH26.0955,000217003001000,3,1591666,4774998
,BH26.0955,000224002026000,5,1555000,7775000
,BH26.0955,000125002023000,2,1310555,2621110
,BH26.0955,000337002001000,1,1622222,1622222
,BH26.0955,000208002023000,6,1408333,8449998
,BH26.0955,000224002023000,5,1555000,7775000
,BH26.0955,000224002002000,5,1555000,7775000
,BH26.0955,000224002015000,3,1555000,4665000
,BH26.0955,000225002023000,5,1616111,8080555
,BH26.0955,000225002002000,5,1616111,8080555
,BH26.0955,000225002015000,5,1616111,8080555
,BH26.0955,000209002025000,5,1469444,7347220
,BH26.0955,000209002003000,5,1469444,7347220
,BH26.0955,1000320050020000,1,2960555,2960555
,BH26.0956,000337002001000,9,1622222,14599998
,BH26.0956,000125002009000,5,1310555,6552775
,BH26.0956,1000270020150000,5,943888,4719440
,BH26.0956,1000240020090000,10,943888,9438880
,BH26.0956,000337002001000,1,1622222,1622222
,BH26.0956,000336002001000,5,1377777,6888885
,BH26.0956,000125002009000,5,1310555,6552775
,BH26.0957,1000400050200000,2,2960555,5921110
,BH26.0957,1000400050020000,3,2960555,8881665
,BH26.0957,1000400050010000,5,2960555,14802775
,BH26.0957,1000320050200000,3,2960555,8881665
,BH26.0957,1000320050020000,2,2960555,5921110
,BH26.0957,000230002023000,1,1799444,1799444
,BH26.0957,000230002009000,1,1799444,1799444
,BH26.0957,000217002001000,1,1469444,1469444
,BH26.0957,000217002007000,2,1469444,2938888
,BH26.0957,000225002023000,5,1616111,8080555
,BH26.0957,000225002002000,2,1616111,3232222
,BH26.0957,000225002015000,1,1616111,1616111
,BH26.0957,000217003001000,5,1591666,7958330
,BH26.0957,000219002012000,4,1744444,6977776
,BH26.0957,000219002022000,8,1744444,13955552
,BH26.0957,000337002001000,1,1622222,1622222
,BH26.0957,000336002001000,4,1377777,5511108
,BH26.0957,000336002004000,5,1377777,6888885
,BH26.0957,000336002022000,2,1377777,2755554
,BH26.0957,000131002004005,2,1169907,2339814
,BH26.0957,000125002009000,4,1310555,5242220
,BH26.0957,000125002023000,3,1310555,3931665
,BH26.0957,000125002013000,1,1310555,1310555
,BH26.0957,000224002023000,6,1555000,9330000
,BH26.0957,000230002023000,5,1799444,8997220
,BH26.0957,000230002013000,3,1799444,5398332
,BH26.0957,000230002009000,2,1799444,3598888
,BH26.0957,000230002002000,1,1799444,1799444
,BH26.0958,000337002008000,2,1622222,3244444
,BH26.0958,000337002022000,1,1622222,1622222
,BH26.0958,000336002001000,1,1377777,1377777
,BH26.0958,000336002022000,1,1377777,1377777
,BH26.0958,000331002001000,1,1799444,1799444
,BH26.0958,000217002001000,2,1469444,2938888
,BH26.0958,1000320050200000,1,2960555,2960555
,BH26.0958,000131002008001,2,1169907,2339814
,BH26.0959,000225002025000,8,1616111,12928888
,BH26.0959,000225002023000,2,1616111,3232222
,BH26.0959,000125002023000,2,1310555,2621110
,BH26.0959,000335002013000,2,2105000,4210000
,BH26.0960,000230002013000,2,1799444,3598888
,BH26.0960,000337002008000,3,1622222,4866666
,BH26.0960,000337002022000,2,1622222,3244444
,BH26.0960,000125002002000,2,1310555,2621110
,BH26.0960,000125002013000,2,1310555,2621110
,BH26.0960,000209002003000,2,1469444,2938888
,BH26.0960,000231002002000,1,2172222,2172222
,BH26.0960,000231002023000,1,2172222,2172222
,BH26.0960,000225002002000,3,1616111,4848333
,BH26.0960,000225002025000,2,1616111,3232222
,BH26.0960,000225002015000,2,1616111,3232222
,BH26.0960,000225002009000,1,1616111,1616111
,BH26.0960,000230002023000,3,1799444,5398332
,BH26.0960,000230002009000,1,1799444,1799444
,BH26.0960,000336002001000,3,1377777,4133331
,BH26.0960,000333002008000,2,2294444,4588888
,BH26.0960,000333002022002,2,2294444,4588888
,BH26.0960,000334002001000,2,1652777,3305554
,BH26.0960,000334002004000,2,1652777,3305554
,BH26.0960,000125002009000,2,1310555,2621110
,BH26.0960,000125002002000,1,1310555,1310555
,BH26.0960,000125002023000,2,1310555,2621110
,BH26.0960,1000270020150000,1,943888,943888
,BH26.0960,1000270020220000,2,943888,1887776
,BH26.0960,1000210020090000,1,882777,882777
,BH26.0960,1000240020090000,1,943888,943888
,BH26.0960,1000250020220000,1,943888,943888
,BH26.0960,000104002009000,1,1236111,1236111
,BH26.0960,000103002009000,1,1262037,1262037
,BH26.0960,000336002004000,2,1377777,2755554
,BH26.0960,000335002001000,3,2105000,6315000
,BH26.0960,000335002013000,2,2105000,4210000
,BH26.0960,100029005010000,2,2960555,5921110
,BH26.0960,100029005080000,2,2960555,5921110
,BH26.0960,1000400050010000,1,2960555,2960555
,BH26.0960,1000400050080010,1,2960555,2960555
,BH26.0960,1000400050200000,1,2960555,2960555
,BH26.0960,1000400050020000,1,2960555,2960555
,BH26.0960,000232003002000,1,2233333,2233333
,BH26.0960,000232003008000,1,2233333,2233333
,BH26.0961,000336002001000,2,1377777,2755554
,BH26.0961,000230002009000,1,1799444,1799444
,BH26.0961,000125002023000,1,1310555,1310555
,BH26.0961,000333002022002,1,2294444,2294444
,BH26.0961,000231002023000,1,2172222,2172222
,BH26.0961,000336002022000,1,1377777,1377777
,BH26.0961,000336002001000,1,1377777,1377777
,BH26.0961,000337002008000,1,1622222,1622222
,BH26.0961,000230002013000,1,1799444,1799444
,BH26.0961,000125002009000,2,1310555,2621110
,BH26.0961,000333002022002,1,2294444,2294444
,BH26.0961,1000400050010000,1,2960555,2960555
,BH26.0961,000331002001000,1,1799444,1799444
,BH26.0961,000331002008000,1,1799444,1799444
,BH26.0961,1000210020090000,1,882777,882777
,BH26.0962,1000220020090000,5,943888,4719440
,BH26.0962,000105002013000,5,1132407,5662035
,BH26.0962,1030010000080000,5,1262037,6310185
,BH26.0962,1040010000080000,3,1326851,3980553
,BH26.0962,1000240020220000,5,943888,4719440
,BH26.0962,000106002001000,2,1262037,2524074
,BH26.0962,1000270020220000,1,943888,943888
,BH26.0962,000103002009000,3,1262037,3786111
,BH26.0962,000103002023000,1,1262037,1262037
,BH26.0962,000103002025000,1,1262037,1262037
,BH26.0964,000125002009000,5,1310555,6552775
,BH26.0964,000125002023000,3,1310555,3931665
,BH26.0964,000209002025000,5,1469444,7347220
,BH26.0965,000226003014000,1,1683333,1683333
,BH26.0965,000226003002000,3,1683333,5049999
,BH26.0965,000333002008000,5,2294444,11472220
,BH26.0965,000232003008000,2,2233333,4466666
,BH26.0965,000232003002000,2,2233333,4466666
,BH26.0965,000217003001000,1,1591666,1591666
,BH26.0965,000219002023000,1,1744444,1744444
,BH26.0965,000334002001000,1,1652777,1652777
,BH26.0965,000334002013000,2,1652777,3305554
,BH26.0965,000226003002000,5,1683333,8416665
,BH26.0965,000217003001000,5,1591666,7958330
,BH26.0965,100029005010000,2,2960555,5921110
,BH26.0966,000335002013000,1,2105000,2105000
,BH26.0966,000335002001000,2,2105000,4210000
,BH26.0966,000225002025000,1,1616111,1616111
,BH26.0966,000225002023000,3,1616111,4848333
,BH26.0966,000230002023000,2,1799444,3598888
,BH26.0966,000336002004000,2,1377777,2755554
,BH26.0966,000207004000000,5,1530555,7652775
,BH26.0966,000125002009000,2,1310555,2621110
,BH26.0966,000125002013000,2,1310555,2621110
,BH26.0966,000125002023000,1,1310555,1310555
,BH26.0967,000230002013000,2,1799444,3598888
,BH26.0967,000230002009000,3,1799444,5398332
,BH26.0967,000224002023000,5,1555000,7775000
,BH26.0967,000208002023000,5,1408333,7041665
,BH26.0968,000106002004000,3,1262037,3786111
,BH26.0968,1040010000080000,2,1326851,2653702
,BH26.0968,000336002001000,6,1377777,8266662
,BH26.0968,000224002002000,2,1555000,3110000
,BH26.0968,000224002015000,2,1555000,3110000
,BH26.0968,000337002001000,4,1622222,6488888
,BH26.0968,000337002022000,2,1622222,3244444
,BH26.0968,000337002008000,1,1622222,1622222
,BH26.0968,000336002004000,3,1377777,4133331
,BH26.0968,000336002022000,2,1377777,2755554
,BH26.0968,1040010000080000,1,1326851,1326851
,BH26.0968,000333002022002,3,2294444,6883332
,BH26.0969,000333002022002,1,2294444,2294444
,BH26.0969,000333002008000,1,2294444,2294444
,BH26.0969,000336002001000,5,1377777,6888885
,BH26.0969,000333002008000,3,2294444,6883332
,BH26.0969,000333002022002,2,2294444,4588888
,BH26.0969,000335002013000,5,2105000,10525000
,BH26.0969,000335002013000,2,2105000,4210000
,BH26.0969,000335002001000,2,2105000,4210000
,BH26.0969,000335002004000,1,2105000,2105000
,BH26.0969,000333002022002,2,2294444,4588888
,BH26.0969,000333002008000,3,2294444,6883332
,BH26.0971,000337002008000,4,1622222,6488888
,BH26.0971,000331002004000,5,1799444,8997220
,BH26.0971,000324000040000,1,2393888,2393888
,BH26.0971,000324000100000,1,2393888,2393888
,BH26.0971,000324000180000,2,2393888,4787776
,BH26.0971,000337002008000,1,1622222,1622222
,BH26.0971,000337002001000,2,1622222,3244444
,BH26.0971,000337002022000,1,1622222,1622222
,BH26.0971,000216003005000,2,1530555,3061110
,BH26.0971,000216003001000,1,1530555,1530555
,BH26.0971,000219002023000,2,1744444,3488888
,BH26.0971,000232003008000,3,2233333,6699999
,BH26.0972,000336002001000,5,1377777,6888885
,BH26.0972,000230002023000,10,1799444,17994440
,BH26.0972,000230002009000,5,1799444,8997220
,BH26.0972,000230002013000,10,1799444,17994440
,BH26.0972,000225002002000,3,1616111,4848333
,BH26.0972,000225002015000,3,1616111,4848333
,BH26.0972,000224002015000,3,1555000,4665000
,BH26.0972,000225002025000,2,1616111,3232222
,BH26.0972,000224002026000,2,1555000,3110000
,BH26.0972,000333002008000,5,2294444,11472220
,BH26.0972,000333002022002,5,2294444,11472220
,BH26.0972,1000320050020000,2,2960555,5921110
,BH26.0972,1000320050200000,2,2960555,5921110
,BH26.0972,000217002007000,3,1469444,4408332
,BH26.0972,000216002001000,3,1408333,4224999
,BH26.0972,000125002013000,3,1310555,3931665
,BH26.0972,000125002009000,3,1310555,3931665
,BH26.0972,000125002023000,2,1310555,2621110
,BH26.0972,1000240020220000,2,943888,1887776
,BH26.0972,1000240020090000,5,943888,4719440
,BH26.0972,1000270020150000,2,943888,1887776
,BH26.0972,1000270020220000,5,943888,4719440
,BH26.0972,000333002022002,5,2294444,11472220
,BH26.0972,000335002004000,2,2105000,4210000
,BH26.0972,000335002001000,2,2105000,4210000
,BH26.0972,000217003008000,2,1591666,3183332
,BH26.0973,000207004000000,2,1530555,3061110
,BH26.0973,000125002009000,2,1310555,2621110
,BH26.0973,000225002023000,3,1616111,4848333
,BH26.0973,000230002009000,3,1799444,5398332
,BH26.0973,000230002023000,3,1799444,5398332
,BH26.0973,000337002001000,2,1622222,3244444
,BH26.0974,000125002009000,4,1310555,5242220
,BH26.0974,1000240020090000,2,943888,1887776
,BH26.0974,000225002023000,1,1616111,1616111
,BH26.0974,000336002022000,2,1377777,2755554
,BH26.0974,000336002004000,2,1377777,2755554
,BH26.0974,000336002001000,1,1377777,1377777
,BH26.0974,000337002001000,2,1622222,3244444
,BH26.0974,000337002022000,1,1622222,1622222
,BH26.0975,000125002009000,6,1310555,7863330
,BH26.0975,000125002013000,3,1310555,3931665
,BH26.0975,000336002001000,5,1377777,6888885
,BH26.0975,000336002004000,3,1377777,4133331
,BH26.0975,000125002023000,2,1310555,2621110
,BH26.0975,1000400050080010,1,2960555,2960555
,BH26.0975,1000400050010000,1,2960555,2960555
,BH26.0975,000337002001000,3,1622222,4866666
,BH26.0975,000337002008000,1,1622222,1622222
,BH26.0975,000216003001000,1,1530555,1530555
,BH26.0975,1000240020090000,4,943888,3775552
,BH26.0976,000336002001000,5,1377777,6888885
,BH26.0976,000336002022000,1,1377777,1377777
,BH26.0976,1000270020220000,5,943888,4719440
,BH26.0976,1000240020090000,5,943888,4719440
,BH26.0976,000125002009000,8,1310555,10484440
,BH26.0976,000125002023000,4,1310555,5242220
,BH26.0976,000125002013000,5,1310555,6552775
,BH26.0977,1000400050080010,2,2960555,5921110
,BH26.0977,1000400050010000,1,2960555,2960555
,BH26.0977,000225002023000,3,1616111,4848333
,BH26.0977,000225002002000,2,1616111,3232222
,BH26.0977,000224002023000,1,1555000,1555000
,BH26.0977,000224002002000,2,1555000,3110000
,BH26.0977,000224002026000,1,1555000,1555000
,BH26.0977,000217003008000,2,1591666,3183332
,BH26.0977,000216003001000,1,1530555,1530555
,BH26.0977,1000250020050000,1,943888,943888
,BH26.0977,1000250020220000,1,943888,943888
,BH26.0977,000216003005000,2,1530555,3061110
,BH26.0978,000224002002000,2,1555000,3110000
,BH26.0978,1000400050010000,2,2960555,5921110
,BH26.0978,000217003005000,2,1591666,3183332
,BH26.0978,000216003005000,2,1530555,3061110
,BH26.0978,000224002023000,3,1555000,4665000
,BH26.0978,000224002026000,4,1555000,6220000
,BH26.0978,000224002004000,1,1555000,1555000
,BH26.0978,000224002015000,1,1555000,1555000
,BH26.0978,1000400050080010,1,2960555,2960555
,BH26.0978,1000400050020000,1,2960555,2960555
,BH26.0978,000231002023000,2,2172222,4344444
,BH26.0979,000224002002000,2,1555000,3110000
,BH26.0979,000224002026000,3,1555000,4665000
,BH26.0979,000224002015000,5,1555000,7775000
,BH26.0979,000225002015000,5,1616111,8080555
,BH26.0979,000225002023000,3,1616111,4848333
,BH26.0979,000335002001000,2,2105000,4210000
,BH26.0979,000335002004000,1,2105000,2105000
,BH26.0979,000335002013000,1,2105000,2105000
,BH26.0979,000217003008000,3,1591666,4774998
,BH26.0979,000125002023000,4,1310555,5242220
,BH26.0980,000207004000000,2,1530555,3061110
,BH26.0980,000337002001000,2,1622222,3244444
,BH26.0980,000337002022000,1,1622222,1622222
,BH26.0980,000226003014000,2,1683333,3366666
,BH26.0980,000230002009000,1,1799444,1799444
,BH26.0980,000230002023000,3,1799444,5398332
,BH26.0980,000224002023000,1,1555000,1555000
,BH26.0980,000224002026000,1,1555000,1555000
,BH26.0980,000224002015000,2,1555000,3110000
,BH26.0980,000225002002000,1,1616111,1616111
,BH26.0980,000225002023000,3,1616111,4848333
,BH26.0980,000225002025000,1,1616111,1616111
,BH26.0980,1000240020090000,2,943888,1887776
,BH26.0980,100029005010000,1,2960555,2960555
,BH26.0981,1000320050020000,5,2960555,14802775
,BH26.0981,1000310050080000,10,2664259,26642590
,BH26.0981,000232003008000,2,2233333,4466666
,BH26.0981,1000320050200000,2,2960555,5921110
,BH26.0982,1040010000080000,4,1326851,5307404
,BH26.0982,1000240020090000,3,943888,2831664
,BH26.0982,1050010000200000,3,1262037,3786111
,BH26.0982,000225002004000,2,1616111,3232222
,BH26.0982,000225002023000,2,1616111,3232222
,BH26.0982,000225002002000,2,1616111,3232222
,BH26.0982,000125002009000,3,1310555,3931665
,BH26.0983,1000400050010000,2,2960555,5921110
,BH26.0983,1000400050080010,2,2960555,5921110
,BH26.0983,000335002004000,1,2105000,2105000
,BH26.0983,000215004000000,2,1591666,3183332
,BH26.0983,000336002001000,2,1377777,2755554
,BH26.0983,000336002004000,2,1377777,2755554
,BH26.0983,000336002022000,2,1377777,2755554
,BH26.0983,000331002004000,2,1799444,3598888
,BH26.0983,000333002008000,3,2294444,6883332
,BH26.0983,000333002022002,2,2294444,4588888
,BH26.0983,000125002013000,2,1310555,2621110
,BH26.0983,000125002023000,1,1310555,1310555
,BH26.0983,000224002023000,1,1555000,1555000
,BH26.0983,000232003008000,2,2233333,4466666
,BH26.0983,000233003022001,1,2355555,2355555
,BH26.0984,000125002002000,2,1310555,2621110
,BH26.0984,000103002009000,5,1262037,6310185
,BH26.0984,000103002023000,3,1262037,3786111
,BH26.0984,000103002025000,3,1262037,3786111
,BH26.0984,000102002009000,4,1132407,4529628
,BH26.0984,000102002023000,3,1132407,3397221
,BH26.0984,100029005090000,1,2960555,2960555
,BH26.0984,100029005220000,1,2960555,2960555
,BH26.0984,1000400050080010,3,2960555,8881665
,BH26.0984,000230002014000,2,1799444,3598888
,BH26.0984,1000340010090000,2,925925,1851850
,BH26.0985,1000220020090000,2,943888,1887776
,BH26.0985,1000270020150000,1,943888,943888
,BH26.0985,1000270020220000,1,943888,943888
,BH26.0985,000125002023000,1,1310555,1310555
,BH26.0985,000125002009000,1,1310555,1310555
,BH26.0985,000207004000000,3,1530555,4591665
,BH26.0985,000217002003000,1,1469444,1469444
,BH26.0985,000217003008000,3,1591666,4774998
,BH26.0985,000230002009000,1,1799444,1799444
,BH26.0985,000333002022002,2,2294444,4588888
,BH26.0985,000333002008000,2,2294444,4588888
,BH26.0985,000215004000000,1,1591666,1591666
,BH26.0985,1000240020090000,2,943888,1887776
,BH26.0985,1000270020150000,1,943888,943888
,BH26.0985,1000270020220000,1,943888,943888
,BH26.0985,000125002013000,1,1310555,1310555
,BH26.0985,000125002023000,1,1310555,1310555
,BH26.0985,000207004000000,2,1530555,3061110
,BH26.0985,000217003008000,1,1591666,1591666
,BH26.0985,000225002002000,1,1616111,1616111
,BH26.0985,000331002004000,1,1799444,1799444
,BH26.0985,000333002022002,1,2294444,2294444
,BH26.0985,1000320050020000,1,2960555,2960555
,BH26.0985,000219002023000,1,1744444,1744444
,BH26.0986,000224002002000,2,1555000,3110000
,BH26.0986,000224002002000,2,1555000,3110000
,BH26.0986,1000400050080010,3,2960555,8881665
,BH26.0986,1000400050200000,3,2960555,8881665
,BH26.0986,000216003001000,1,1530555,1530555
,BH26.0986,000337002008000,1,1622222,1622222
,BH26.0986,000334002001000,3,1652777,4958331
,BH26.0986,000334002004000,3,1652777,4958331
,BH26.0986,000334002013000,3,1652777,4958331
,BH26.0986,000333002001002,1,2294444,2294444
,BH26.0986,000333002022002,1,2294444,2294444
,BH26.0987,000219002023000,2,1744444,3488888
,BH26.0987,000207004000000,5,1530555,7652775
,BH26.0987,000217003008000,10,1591666,15916660
,BH26.0987,000216003001000,5,1530555,7652775
,BH26.0987,000225002023000,10,1616111,16161110
,BH26.0987,000225002015000,10,1616111,16161110
,BH26.0987,000336002001000,3,1377777,4133331
,BH26.0987,000336002022000,3,1377777,4133331
,BH26.0987,000336002004000,2,1377777,2755554
,BH26.0987,000337002001000,2,1622222,3244444
,BH26.0987,000337002022000,1,1622222,1622222
,BH26.0987,100029005090000,1,2960555,2960555
,BH26.0987,1000400050090000,1,2960555,2960555
,BH26.0988,000230002009000,4,1799444,7197776
,BH26.0988,000224002026000,5,1555000,7775000
,BH26.0988,000224002015000,6,1555000,9330000
,BH26.0988,000336002001000,10,1377777,13777770
,BH26.0988,000336002022000,5,1377777,6888885
